what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419786680134
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419786759752
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419786784222
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419786886250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419786893435
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419786904770
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1419786907059
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419786915486
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419786919825
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1419786919906
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1419786919974
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419786940159
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419787011632
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419787068222
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419787096953
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419787133406
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419787157418
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419787161972
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419787163348
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419787163397
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419787164355
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419787181988
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419787182965
