what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1421423962922
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1421423962922
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1421423962941
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1421423962942
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1421423962942
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1421423962943
os,sysinfo,,,"win32",1421423962952
arch,sysinfo,,,"x86_64",1421423962952
ws,sysinfo,,,"win32",1421423962952
locale,sysinfo,,,"en_US",1421423962952
processors,sysinfo,,,"4",1421423962952
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1421423962952
java.runtime.version,sysinfo,,,"1.8.0_25-b18",1421423962952
java.specification.name,sysinfo,,,"Java Platform API Specification",1421423962952
java.specification.vendor,sysinfo,,,"Oracle Corporation",1421423962952
java.specification.version,sysinfo,,,"1.8",1421423962952
java.vendor,sysinfo,,,"Oracle Corporation",1421423962952
java.version,sysinfo,,,"1.8.0_25",1421423962952
java.vm.info,sysinfo,,,"mixed mode",1421423962952
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1421423962952
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1421423962952
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1421423962952
java.vm.specification.version,sysinfo,,,"1.8",1421423962952
java.vm.vendor,sysinfo,,,"Oracle Corporation",1421423962952
java.vm.version,sysinfo,,,"25.25-b02",1421423962952
started,bundle,org.eclipse.emf.ecore,2.7.0.v20110605-0747,"org.eclipse.emf.ecore",1421423963072
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1421423963617
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1421423963707
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.300.v201011231608,"org.eclipse.jst.ws.jaxrs.core",1421423963720
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1421423964009
