what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1422164306785
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1422164306901
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1422164307225
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.300.v201011231608,"org.eclipse.jst.ws.jaxrs.core",1422164307259
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1422164310222
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422164321713
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422164339539
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1422164339582
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422164342817
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422164351657
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1422164351678
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422164406697
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422164406798
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1422164409662
started,bundle,org.eclipse.wst.server.core,1.1.302.v20110518,"org.eclipse.wst.server.core",1422164409943
started,bundle,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui",1422164409955
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1422164410064
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1422164410145
started,bundle,org.eclipse.wst.common.frameworks,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks",1422164410725
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1422164410740
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1422164410763
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.100.v201011172300,"org.eclipse.wst.common.emfworkbench.integration",1422164410766
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1422164410795
started,bundle,org.eclipse.wst.common.modulecore,1.2.100.v201105191800,"org.eclipse.wst.common.modulecore",1422164410798
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1422164414487
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1422164415975
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422164430680
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422164432286
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422164434694
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422165136021
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422165259697
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422165268562
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422165313152
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422165313901
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422165686511
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422165698454
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422165700087
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422165762204
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422165809565
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422165824033
