what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1423553610415
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1423553610543
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1423553610732
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1423553615935
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1423553616422
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1423553618218
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1423553619178
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1423553621572
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1423553622013
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1423553622013
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1423553622299
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1423553623376
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1423553624153
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1423553624794
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1423553625717
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1423553625717
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1423553626977
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1423553639585
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1423553639593
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1423553644061
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1423553658864
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1423553659178
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1423553659266
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1423553665943
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1423553683918
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1423553683984
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1423553684037
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1423553687185
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1423553714436
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1423553716592
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1423553725678
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1423553725746
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1423553725818
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1423553727202
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1423554148574
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1423554192173
