what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422801646609
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422801675986
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422801680081
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422801688600
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422801688992
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422801689909
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1422801724129
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422801734553
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422801739246
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422801740001
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422801752326
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422801752841
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422801753566
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422801754105
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422801758597
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1422801760129
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422801769601
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422801770318
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422801771585
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422801788022
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422801792865
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422801807738
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1422801809600
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422801900577
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422801954243
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1422801958923
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1422801960042
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1422801960876
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1422801966592
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1422801970096
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1422801971049
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422801987929
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422801998642
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1422802024334
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1422802551764
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1422802555700
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1422802556791
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1422802566061
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1422802574917
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1422802753482
started,bundle,org.eclipse.wst.server.core,1.1.302.v20110518,"org.eclipse.wst.server.core",1422802753721
started,bundle,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui",1422802753734
