what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420129578590
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1420129580131
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420129581893
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420129597447
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1420129600507
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420129603287
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420129608861
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1420129608950
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1420129609051
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420129691528
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420129759362
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420129763798
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420129764834
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420129777566
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420129779044
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1420129786535
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1420129790609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420129791166
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420129792213
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420129799208
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420132462327
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420132466279
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420135103526
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420135107653
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420135113709
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420135117593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420135128854
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1420135132839
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420135138921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420135146942
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1420135147026
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1420135147081
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420135148696
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420135161605
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420135247891
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420135359336
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420135414424
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420135448138
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420135453054
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420135706085
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1420135732190
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1420135733646
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420135767039
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420135816163
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420135862834
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420135912408
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420135969302
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420136036866
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420136249422
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420136654917
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420136688724
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420136731437
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1420136747605
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1420136748923
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420136828452
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420136865135
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420136987353
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420137004838
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420137018102
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420137022366
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420137023561
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420137023624
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420137085857
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420137086697
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1420137089534
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420137090438
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420137091953
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420137100394
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420137101707
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420137101761
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420137103172
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420137105081
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1420137106015
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1420137106046
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1420137106084
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1420137106106
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1420172736507
started,bundle,org.eclipse.osgi,3.7.0.v20110613,"org.eclipse.osgi",1420172736509
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1420172736510
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1420172736624
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1420172736625
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1420172736625
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1420172736626
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1420172736627
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1420172736627
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1420172736644
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1420172736645
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1420172736646
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1420172736646
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1420172736646
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1420172736663
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1420172736663
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1420172736664
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1420172736664
started,bundle,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui",1420172736665
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1420172736665
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1420172736666
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1420172736666
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1420172736667
started,bundle,org.eclipse.equinox.ds,1.3.0.v20110502,"org.eclipse.equinox.ds",1420172736667
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1420172736668
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1420172736669
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1420172736670
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1420172736670
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1420172736671
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1420172736672
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1420172736672
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1420172736729
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1420172736729
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1420172736730
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1420172736731
started,bundle,org.eclipse.equinox.preferences,3.4.0.v20110502,"org.eclipse.equinox.preferences",1420172736732
started,bundle,org.eclipse.equinox.registry,3.5.100.v20110502,"org.eclipse.equinox.registry",1420172736768
started,bundle,org.eclipse.equinox.security,1.1.0.v20110502,"org.eclipse.equinox.security",1420172736787
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1420172736788
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1420172736788
started,bundle,org.eclipse.jdt.core,3.7.0.v_B61,"org.eclipse.jdt.core",1420172736789
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1420172736789
started,bundle,org.eclipse.jdt.launching,3.6.0.v20110509,"org.eclipse.jdt.launching",1420172736790
